co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
1.0,Norte,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.795
1.0,Norte,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,280.32
1.0,Norte,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,185.129
1.0,Norte,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,218.102
1.0,Norte,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,122.584
1.0,Norte,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,97.837
1.0,Norte,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,195.964
1.0,Norte,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,127.369
1.0,Norte,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,214.709
1.0,Norte,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,289.849
1.0,Norte,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,199.281
1.0,Norte,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,289.653
2.0,Nordeste,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.283
2.0,Nordeste,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,161.052
2.0,Nordeste,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,581.602
2.0,Nordeste,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,572.899
2.0,Nordeste,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,148.19
2.0,Nordeste,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,117.266
2.0,Nordeste,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,375.397
2.0,Nordeste,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,262.496
2.0,Nordeste,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,226.168
2.0,Nordeste,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,444.822
2.0,Nordeste,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,191.89
2.0,Nordeste,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,629.086
3.0,Sudeste,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.426
3.0,Sudeste,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,366.773
3.0,Sudeste,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1226.536
3.0,Sudeste,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1001.54
3.0,Sudeste,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,61.93
3.0,Sudeste,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,83.39
3.0,Sudeste,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1154.21
3.0,Sudeste,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,337.608
3.0,Sudeste,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,204.574
3.0,Sudeste,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,531.806
3.0,Sudeste,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,935.025
3.0,Sudeste,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4806.222
4.0,Sul,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,0.229
4.0,Sul,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,79.48
4.0,Sul,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,178.275
4.0,Sul,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,242.274
4.0,Sul,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,8.784
4.0,Sul,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,5.845
4.0,Sul,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,165.286
4.0,Sul,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,926.146
4.0,Sul,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,214.39
4.0,Sul,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1031.161
4.0,Sul,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1303.082
4.0,Sul,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4041.472
5.0,Centro-Oeste,2013,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2.608
5.0,Centro-Oeste,2014,Notificações Registradas de Dengue,Incidência de dengue,Taxa,769.363
5.0,Centro-Oeste,2015,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1506.861
5.0,Centro-Oeste,2016,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1391.534
5.0,Centro-Oeste,2017,Notificações Registradas de Dengue,Incidência de dengue,Taxa,504.236
5.0,Centro-Oeste,2018,Notificações Registradas de Dengue,Incidência de dengue,Taxa,666.137
5.0,Centro-Oeste,2019,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1452.328
5.0,Centro-Oeste,2020,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1199.59
5.0,Centro-Oeste,2021,Notificações Registradas de Dengue,Incidência de dengue,Taxa,671.825
5.0,Centro-Oeste,2022,Notificações Registradas de Dengue,Incidência de dengue,Taxa,2094.627
5.0,Centro-Oeste,2023,Notificações Registradas de Dengue,Incidência de dengue,Taxa,1142.304
5.0,Centro-Oeste,2024,Notificações Registradas de Dengue,Incidência de dengue,Taxa,4039.452
