_id,co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
1,1.0,Norte,2005,Estabelecimentos de Saúde,Central de abastecimento,Total,0.0
2,1.0,Norte,2005,Estabelecimentos de Saúde,Central de gestao em saude,Total,0.0
3,1.0,Norte,2005,Estabelecimentos de Saúde,"Central de notificacao,captacao e distrib de orgaos estadual",Total,0.0
4,1.0,Norte,2005,Estabelecimentos de Saúde,Central de regulacao de servicos de saude,Total,19.0
5,1.0,Norte,2005,Estabelecimentos de Saúde,Central de regulacao do acesso,Total,0.0
6,1.0,Norte,2005,Estabelecimentos de Saúde,Central de regulacao medica das urgencias,Total,0.0
7,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de apoio a saude da familia,Total,0.0
8,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de atencao hemoterapia e ou hematologica,Total,0.0
9,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de atencao psicossocial,Total,0.0
10,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de imunizacao,Total,0.0
11,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de parto normal - isolado,Total,0.0
12,1.0,Norte,2005,Estabelecimentos de Saúde,Centro de saude/unidade basica,Total,1754.0
13,1.0,Norte,2005,Estabelecimentos de Saúde,Clinica/centro de especialidade,Total,461.0
14,1.0,Norte,2005,Estabelecimentos de Saúde,Consultorio isolado,Total,569.0
15,1.0,Norte,2005,Estabelecimentos de Saúde,Cooperativa ou empresa de cessao de trabalhadores na saude,Total,22.0
16,1.0,Norte,2005,Estabelecimentos de Saúde,Farmacia,Total,7.0
17,1.0,Norte,2005,Estabelecimentos de Saúde,Hospital especializado,Total,74.0
18,1.0,Norte,2005,Estabelecimentos de Saúde,Hospital geral,Total,339.0
19,1.0,Norte,2005,Estabelecimentos de Saúde,Hospital/dia - isolado,Total,3.0
20,1.0,Norte,2005,Estabelecimentos de Saúde,Laboratorio central de saude publica lacen,Total,0.0
21,1.0,Norte,2005,Estabelecimentos de Saúde,Laboratorio de saude publica,Total,0.0
22,1.0,Norte,2005,Estabelecimentos de Saúde,Oficina ortopedica,Total,0.0
23,1.0,Norte,2005,Estabelecimentos de Saúde,Policlinica,Total,93.0
24,1.0,Norte,2005,Estabelecimentos de Saúde,Polo academia da saude,Total,0.0
25,1.0,Norte,2005,Estabelecimentos de Saúde,Polo de prevencao de doencas e agravos e promocao da saude,Total,0.0
26,1.0,Norte,2005,Estabelecimentos de Saúde,Posto de saude,Total,1665.0
27,1.0,Norte,2005,Estabelecimentos de Saúde,Pronto atendimento,Total,0.0
28,1.0,Norte,2005,Estabelecimentos de Saúde,Pronto socorro de hospital geral (antigo),Total,0.0
29,1.0,Norte,2005,Estabelecimentos de Saúde,Pronto socorro especializado,Total,6.0
30,1.0,Norte,2005,Estabelecimentos de Saúde,Pronto socorro geral,Total,14.0
31,1.0,Norte,2005,Estabelecimentos de Saúde,Pronto socorro traumato-ortopedico (antigo),Total,1.0
32,1.0,Norte,2005,Estabelecimentos de Saúde,Servico de atencao domiciliar isolado(home care),Total,0.0
33,1.0,Norte,2005,Estabelecimentos de Saúde,Telessaude,Total,0.0
34,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de apoio diagnose e terapia (sadt isolado),Total,524.0
35,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de atencao a saude indigena,Total,0.0
36,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de atencao em regime residencial,Total,0.0
37,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de saude da familia,Total,0.0
38,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de vigilancia em saude,Total,210.0
39,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de vigilancia epidemiologia (antigo),Total,0.0
40,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade de vigilancia sanitaria (antigo),Total,0.0
41,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade mista,Total,165.0
42,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade movel de nivel pre-hospitalar na area de urgencia,Total,13.0
43,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade movel fluvial,Total,14.0
44,1.0,Norte,2005,Estabelecimentos de Saúde,Unidade movel terrestre,Total,72.0
45,1.0,Norte,2006,Estabelecimentos de Saúde,Central de abastecimento,Total,0.0
46,1.0,Norte,2006,Estabelecimentos de Saúde,Central de gestao em saude,Total,0.0
47,1.0,Norte,2006,Estabelecimentos de Saúde,"Central de notificacao,captacao e distrib de orgaos estadual",Total,0.0
48,1.0,Norte,2006,Estabelecimentos de Saúde,Central de regulacao de servicos de saude,Total,24.0
49,1.0,Norte,2006,Estabelecimentos de Saúde,Central de regulacao do acesso,Total,0.0
50,1.0,Norte,2006,Estabelecimentos de Saúde,Central de regulacao medica das urgencias,Total,0.0
51,1.0,Norte,2006,Estabelecimentos de Saúde,Centro de apoio a saude da familia,Total,0.0
