co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
1.0,Norte,2005,Leitos de Internação,Cirúrgicos,Total,6786.0
1.0,Norte,2005,Leitos de Internação,Clínicos,Total,9087.0
1.0,Norte,2005,Leitos de Internação,Hospital/DIA,Total,74.0
1.0,Norte,2005,Leitos de Internação,Obstétrico,Total,5504.0
1.0,Norte,2005,Leitos de Internação,Outras Especialidades,Total,772.0
1.0,Norte,2005,Leitos de Internação,Pediátrico,Total,5448.0
1.0,Norte,2006,Leitos de Internação,Cirúrgicos,Total,7495.0
1.0,Norte,2006,Leitos de Internação,Clínicos,Total,9746.0
1.0,Norte,2006,Leitos de Internação,Hospital/DIA,Total,160.0
1.0,Norte,2006,Leitos de Internação,Obstétrico,Total,5708.0
1.0,Norte,2006,Leitos de Internação,Outras Especialidades,Total,862.0
1.0,Norte,2006,Leitos de Internação,Pediátrico,Total,5465.0
1.0,Norte,2007,Leitos de Internação,Cirúrgicos,Total,7601.0
1.0,Norte,2007,Leitos de Internação,Clínicos,Total,9787.0
1.0,Norte,2007,Leitos de Internação,Hospital/DIA,Total,173.0
1.0,Norte,2007,Leitos de Internação,Obstétrico,Total,5612.0
1.0,Norte,2007,Leitos de Internação,Outras Especialidades,Total,815.0
1.0,Norte,2007,Leitos de Internação,Pediátrico,Total,5405.0
1.0,Norte,2008,Leitos de Internação,Cirúrgicos,Total,7867.0
1.0,Norte,2008,Leitos de Internação,Clínicos,Total,9951.0
1.0,Norte,2008,Leitos de Internação,Hospital/DIA,Total,208.0
1.0,Norte,2008,Leitos de Internação,Obstétrico,Total,5677.0
1.0,Norte,2008,Leitos de Internação,Outras Especialidades,Total,821.0
1.0,Norte,2008,Leitos de Internação,Pediátrico,Total,5473.0
1.0,Norte,2009,Leitos de Internação,Cirúrgicos,Total,8011.0
1.0,Norte,2009,Leitos de Internação,Clínicos,Total,10077.0
1.0,Norte,2009,Leitos de Internação,Hospital/DIA,Total,184.0
1.0,Norte,2009,Leitos de Internação,Obstétrico,Total,5725.0
1.0,Norte,2009,Leitos de Internação,Outras Especialidades,Total,846.0
1.0,Norte,2009,Leitos de Internação,Pediátrico,Total,5573.0
1.0,Norte,2010,Leitos de Internação,Cirúrgicos,Total,8173.0
1.0,Norte,2010,Leitos de Internação,Clínicos,Total,10324.0
1.0,Norte,2010,Leitos de Internação,Hospital/DIA,Total,157.0
1.0,Norte,2010,Leitos de Internação,Obstétrico,Total,5986.0
1.0,Norte,2010,Leitos de Internação,Outras Especialidades,Total,882.0
1.0,Norte,2010,Leitos de Internação,Pediátrico,Total,5598.0
1.0,Norte,2011,Leitos de Internação,Cirúrgicos,Total,8256.0
1.0,Norte,2011,Leitos de Internação,Clínicos,Total,10764.0
1.0,Norte,2011,Leitos de Internação,Hospital/DIA,Total,157.0
1.0,Norte,2011,Leitos de Internação,Obstétrico,Total,5869.0
1.0,Norte,2011,Leitos de Internação,Outras Especialidades,Total,884.0
1.0,Norte,2011,Leitos de Internação,Pediátrico,Total,5721.0
1.0,Norte,2012,Leitos de Internação,Cirúrgicos,Total,8582.0
1.0,Norte,2012,Leitos de Internação,Clínicos,Total,10712.0
1.0,Norte,2012,Leitos de Internação,Hospital/DIA,Total,215.0
1.0,Norte,2012,Leitos de Internação,Obstétrico,Total,5664.0
1.0,Norte,2012,Leitos de Internação,Outras Especialidades,Total,909.0
1.0,Norte,2012,Leitos de Internação,Pediátrico,Total,5721.0
1.0,Norte,2013,Leitos de Internação,Cirúrgicos,Total,8472.0
1.0,Norte,2013,Leitos de Internação,Clínicos,Total,11047.0
1.0,Norte,2013,Leitos de Internação,Hospital/DIA,Total,216.0
1.0,Norte,2013,Leitos de Internação,Obstétrico,Total,5539.0
1.0,Norte,2013,Leitos de Internação,Outras Especialidades,Total,892.0
1.0,Norte,2013,Leitos de Internação,Pediátrico,Total,5509.0
1.0,Norte,2014,Leitos de Internação,Cirúrgicos,Total,8627.0
1.0,Norte,2014,Leitos de Internação,Clínicos,Total,11235.0
1.0,Norte,2014,Leitos de Internação,Hospital/DIA,Total,228.0
1.0,Norte,2014,Leitos de Internação,Obstétrico,Total,5571.0
1.0,Norte,2014,Leitos de Internação,Outras Especialidades,Total,756.0
1.0,Norte,2014,Leitos de Internação,Pediátrico,Total,5622.0
1.0,Norte,2015,Leitos de Internação,Cirúrgicos,Total,8461.0
1.0,Norte,2015,Leitos de Internação,Clínicos,Total,11189.0
1.0,Norte,2015,Leitos de Internação,Hospital/DIA,Total,228.0
1.0,Norte,2015,Leitos de Internação,Obstétrico,Total,5446.0
1.0,Norte,2015,Leitos de Internação,Outras Especialidades,Total,758.0
1.0,Norte,2015,Leitos de Internação,Pediátrico,Total,5436.0
1.0,Norte,2016,Leitos de Internação,Cirúrgicos,Total,8584.0
1.0,Norte,2016,Leitos de Internação,Clínicos,Total,11163.0
1.0,Norte,2016,Leitos de Internação,Hospital/DIA,Total,235.0
1.0,Norte,2016,Leitos de Internação,Obstétrico,Total,5525.0
1.0,Norte,2016,Leitos de Internação,Outras Especialidades,Total,726.0
1.0,Norte,2016,Leitos de Internação,Pediátrico,Total,5312.0
1.0,Norte,2017,Leitos de Internação,Cirúrgicos,Total,8465.0
1.0,Norte,2017,Leitos de Internação,Clínicos,Total,11133.0
1.0,Norte,2017,Leitos de Internação,Hospital/DIA,Total,211.0
1.0,Norte,2017,Leitos de Internação,Obstétrico,Total,5446.0
1.0,Norte,2017,Leitos de Internação,Outras Especialidades,Total,713.0
