_id,co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
1,1.0,Norte,2007,Profissionais de Saúde,Anestesista,Total,474.0
2,1.0,Norte,2007,Profissionais de Saúde,Assistente Social,Total,1043.0
3,1.0,Norte,2007,Profissionais de Saúde,Bioquímico/farmacêutico,Total,1835.0
4,1.0,Norte,2007,Profissionais de Saúde,Cirurgião Geral,Total,907.0
5,1.0,Norte,2007,Profissionais de Saúde,Clínico Geral,Total,3276.0
6,1.0,Norte,2007,Profissionais de Saúde,Enfermeiro,Total,6015.0
7,1.0,Norte,2007,Profissionais de Saúde,Fisioterapeuta,Total,1001.0
8,1.0,Norte,2007,Profissionais de Saúde,Fonoaudiólogo,Total,339.0
9,1.0,Norte,2007,Profissionais de Saúde,Gineco Obstetra,Total,714.0
10,1.0,Norte,2007,Profissionais de Saúde,Médico de Família,Total,1325.0
11,1.0,Norte,2007,Profissionais de Saúde,Nutricionista,Total,450.0
12,1.0,Norte,2007,Profissionais de Saúde,Odontólogo,Total,3552.0
13,1.0,Norte,2007,Profissionais de Saúde,Outras especialidades médicas,Total,2510.0
14,1.0,Norte,2007,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,960.0
15,1.0,Norte,2007,Profissionais de Saúde,Pediatra,Total,804.0
16,1.0,Norte,2007,Profissionais de Saúde,Psicólogo,Total,833.0
17,1.0,Norte,2007,Profissionais de Saúde,Psiquiatra,Total,91.0
18,1.0,Norte,2007,Profissionais de Saúde,Radiologista,Total,325.0
19,1.0,Norte,2007,Profissionais de Saúde,Sanitarista,Total,19.0
20,1.0,Norte,2008,Profissionais de Saúde,Anestesista,Total,637.0
21,1.0,Norte,2008,Profissionais de Saúde,Assistente Social,Total,1138.0
22,1.0,Norte,2008,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2040.0
23,1.0,Norte,2008,Profissionais de Saúde,Cirurgião Geral,Total,1064.0
24,1.0,Norte,2008,Profissionais de Saúde,Clínico Geral,Total,3681.0
25,1.0,Norte,2008,Profissionais de Saúde,Enfermeiro,Total,6809.0
26,1.0,Norte,2008,Profissionais de Saúde,Fisioterapeuta,Total,1319.0
27,1.0,Norte,2008,Profissionais de Saúde,Fonoaudiólogo,Total,441.0
28,1.0,Norte,2008,Profissionais de Saúde,Gineco Obstetra,Total,732.0
29,1.0,Norte,2008,Profissionais de Saúde,Médico de Família,Total,1238.0
30,1.0,Norte,2008,Profissionais de Saúde,Nutricionista,Total,577.0
31,1.0,Norte,2008,Profissionais de Saúde,Odontólogo,Total,4079.0
32,1.0,Norte,2008,Profissionais de Saúde,Outras especialidades médicas,Total,2806.0
33,1.0,Norte,2008,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1141.0
34,1.0,Norte,2008,Profissionais de Saúde,Pediatra,Total,859.0
35,1.0,Norte,2008,Profissionais de Saúde,Psicólogo,Total,971.0
36,1.0,Norte,2008,Profissionais de Saúde,Psiquiatra,Total,97.0
37,1.0,Norte,2008,Profissionais de Saúde,Radiologista,Total,321.0
38,1.0,Norte,2008,Profissionais de Saúde,Sanitarista,Total,15.0
39,1.0,Norte,2009,Profissionais de Saúde,Anestesista,Total,718.0
40,1.0,Norte,2009,Profissionais de Saúde,Assistente Social,Total,1215.0
41,1.0,Norte,2009,Profissionais de Saúde,Bioquímico/farmacêutico,Total,2250.0
42,1.0,Norte,2009,Profissionais de Saúde,Cirurgião Geral,Total,1236.0
43,1.0,Norte,2009,Profissionais de Saúde,Clínico Geral,Total,3873.0
44,1.0,Norte,2009,Profissionais de Saúde,Enfermeiro,Total,7338.0
45,1.0,Norte,2009,Profissionais de Saúde,Fisioterapeuta,Total,1551.0
46,1.0,Norte,2009,Profissionais de Saúde,Fonoaudiólogo,Total,518.0
47,1.0,Norte,2009,Profissionais de Saúde,Gineco Obstetra,Total,710.0
48,1.0,Norte,2009,Profissionais de Saúde,Médico de Família,Total,1254.0
49,1.0,Norte,2009,Profissionais de Saúde,Nutricionista,Total,660.0
50,1.0,Norte,2009,Profissionais de Saúde,Odontólogo,Total,4508.0
51,1.0,Norte,2009,Profissionais de Saúde,Outras especialidades médicas,Total,2951.0
52,1.0,Norte,2009,Profissionais de Saúde,Outras ocupações de nível superior relac à Saúde,Total,1228.0
53,1.0,Norte,2009,Profissionais de Saúde,Pediatra,Total,904.0
54,1.0,Norte,2009,Profissionais de Saúde,Psicólogo,Total,1086.0
55,1.0,Norte,2009,Profissionais de Saúde,Psiquiatra,Total,103.0
56,1.0,Norte,2009,Profissionais de Saúde,Radiologista,Total,316.0
57,1.0,Norte,2009,Profissionais de Saúde,Sanitarista,Total,10.0
